age_group,count,election_type,electoral_district,year
42-47,11379,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
42-47,10148,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
42-47,25788,βουλευτικές,ΛΑΡΙΣΗΣ,2012
42-47,6290,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
42-47,10855,βουλευτικές,ΛΕΣΒΟΥ,2012
42-47,2655,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
42-47,17858,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
42-47,17510,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
42-47,11866,βουλευτικές,ΞΑΝΘΗΣ,2012
42-47,15983,βουλευτικές,ΠΕΛΛΗΣ,2012
42-47,14388,βουλευτικές,ΠΙΕΡΙΑΣ,2012
42-47,6452,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
42-47,7021,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
42-47,11990,βουλευτικές,ΡΟΔΟΠΗΣ,2012
42-47,4196,βουλευτικές,ΣΑΜΟΥ,2012
42-47,23717,βουλευτικές,ΣΕΡΡΩΝ,2012
42-47,14672,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
42-47,15090,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
42-47,6974,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
42-47,3945,βουλευτικές,ΦΩΚΙΔΟΣ,2012
42-47,10891,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
42-47,14530,βουλευτικές,ΧΑΝΙΩΝ,2012
42-47,5444,βουλευτικές,ΧΙΟΥ,2012
48-53,22937,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
48-53,8891,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
48-53,11328,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
48-53,7776,βουλευτικές,ΑΡΤΗΣ,2012
48-53,42675,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
48-53,144943,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
48-53,43900,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
48-53,18104,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
48-53,25676,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
48-53,26076,βουλευτικές,ΑΧΑΪΑΣ,2012
48-53,10085,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
48-53,4121,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
48-53,11693,βουλευτικές,ΔΡΑΜΑΣ,2012
48-53,16393,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
48-53,16086,βουλευτικές,ΕΒΡΟΥ,2012
48-53,18898,βουλευτικές,ΕΥΒΟΙΑΣ,2012
48-53,3120,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
48-53,4072,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
48-53,16416,βουλευτικές,ΗΛΕΙΑΣ,2012
48-53,12724,βουλευτικές,ΗΜΑΘΙΑΣ,2012
48-53,22527,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
48-53,5795,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
48-53,51627,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
48-53,28357,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
48-53,15175,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
48-53,13700,βουλευτικές,ΚΑΒΑΛΑΣ,2012
48-53,12713,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
48-53,6168,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
48-53,9892,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
48-53,4853,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
48-53,10808,βουλευτικές,ΚΙΛΚΙΣ,2012
48-53,16124,βουλευτικές,ΚΟΖΑΝΗΣ,2012
48-53,12728,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
48-53,10875,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
48-53,10502,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
48-53,23109,βουλευτικές,ΛΑΡΙΣΗΣ,2012
48-53,6065,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
48-53,9983,βουλευτικές,ΛΕΣΒΟΥ,2012
48-53,2746,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
48-53,16099,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
48-53,17673,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
48-53,11283,βουλευτικές,ΞΑΝΘΗΣ,2012
48-53,14979,βουλευτικές,ΠΕΛΛΗΣ,2012
48-53,13205,βουλευτικές,ΠΙΕΡΙΑΣ,2012
48-53,6391,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
48-53,6332,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
48-53,11554,βουλευτικές,ΡΟΔΟΠΗΣ,2012
48-53,4090,βουλευτικές,ΣΑΜΟΥ,2012
48-53,22710,βουλευτικές,ΣΕΡΡΩΝ,2012
48-53,13977,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
