appprocesstime,average_speed,countedcars,deviceid
2020-11-05T00:00:00Z,33.314285714285724,1400,MS693
2020-11-05T00:00:00Z,31.61290322580645,3720,MS699
2020-11-05T00:00:00Z,40.735632183908066,3480,MS700
2020-11-05T00:00:00Z,39.897435897435884,4680,MS701
2020-11-05T00:00:00Z,41.433333333333316,8400,MS703
2020-11-05T00:00:00Z,51.16393442622951,4880,MS704
2020-11-05T00:00:00Z,49.65934065934067,3640,MS709
2020-11-05T00:00:00Z,51.14925373134329,2680,MS710
2020-11-05T00:00:00Z,49.41071428571427,4480,MS712
2020-11-05T00:00:00Z,45.93181818181817,1760,MS725
2020-11-05T00:00:00Z,53.676923076923075,5200,MS730
2020-11-05T00:00:00Z,46.25,640,MS731
2020-11-05T00:00:00Z,34.63888888888889,2880,MS732
2020-11-05T00:00:00Z,32.53846153846153,6760,MS733
2020-11-05T00:00:00Z,52.0,360,MS734
2020-11-05T00:00:00Z,36.59868421052631,6080,MS735
2020-11-05T00:00:00Z,41.49999999999999,2240,MS738
2020-11-05T00:00:00Z,49.31906614785991,10280,MS740
2020-11-05T00:00:00Z,59.39215686274509,2040,MS742
2020-11-05T00:00:00Z,36.397435897435905,3120,MS747
2020-11-05T00:00:00Z,39.81818181818182,3520,MS748
2020-11-05T00:00:00Z,35.28712871287129,4040,MS749
2020-11-05T00:00:00Z,62.67,8000,MS767
2020-11-05T00:00:00Z,56.13235294117649,8160,MS768
2020-11-05T00:00:00Z,53.00858369098711,9320,MS769
2020-11-05T00:00:00Z,50.34042553191488,7520,MS770
2020-11-05T00:00:00Z,30.72340425531915,1880,MS771
2020-11-05T00:00:00Z,57.77637130801688,9480,MS772
2020-11-05T00:00:00Z,52.277511961722496,8360,MS773
2020-11-05T00:00:00Z,62.22222222222222,5400,MS813
2020-11-05T00:00:00Z,72.72573839662448,9480,MS815
2020-11-05T00:00:00Z,36.65217391304348,1840,MS833
2020-11-05T00:00:00Z,46.32978723404257,7520,MS834
2020-11-05T00:00:00Z,59.75438596491229,6840,MS835
2020-11-05T00:00:00Z,52.385964912280684,9120,MS836
2020-11-05T00:00:00Z,44.66265060240964,6640,MS837
2020-11-05T00:00:00Z,46.234567901234556,12960,MS838
2020-11-05T00:00:00Z,31.813953488372096,1720,MS839
2020-11-05T00:00:00Z,48.20197044334976,8120,MS840
2020-11-05T00:00:00Z,35.56410256410256,1560,MS842
2020-11-05T00:00:00Z,54.46875000000001,6400,MS845
2020-11-05T00:00:00Z,57.90943396226413,10600,MS847
2020-11-05T00:00:00Z,63.78242677824268,9560,MS848
2020-11-05T00:00:00Z,62.67338709677419,9920,MS850
2020-11-05T00:00:00Z,68.7107438016529,9680,MS851
2020-11-05T00:00:00Z,37.857142857142854,560,MS852
2020-11-05T00:00:00Z,58.094017094017126,9360,MS853
2020-11-05T00:00:00Z,55.69117647058823,8160,MS854
2020-11-05T00:00:00Z,64.67355371900825,9680,MS855
2020-11-05T00:00:00Z,48.732394366197184,2840,MS856
2020-11-05T00:00:00Z,62.27368421052631,3800,MS872
2020-11-05T00:00:00Z,56.60465116279072,5160,MS915
2020-11-05T00:00:00Z,60.56194690265487,9040,MS916
2020-11-05T00:00:00Z,66.88625592417063,8440,MS933
2020-11-05T00:00:00Z,30.074468085106385,3760,MS937
2020-11-05T00:00:00Z,22.142857142857142,1120,MS939
2020-11-05T00:00:00Z,16.222222222222225,720,MS941
2020-11-05T00:00:00Z,21.102564102564113,3120,MS943
2020-11-05T00:00:00Z,16.333333333333332,600,MS944
2020-11-05T00:00:00Z,26.54545454545455,880,MS945
2020-11-05T00:00:00Z,37.05806451612903,6200,MS946
2020-11-05T00:00:00Z,27.612903225806456,2480,MS947
2020-11-05T00:00:00Z,28.92121212121212,6600,MS948
2020-11-05T00:00:00Z,49.00000000000001,4920,MS949
2020-11-05T00:00:00Z,52.51999999999999,1000,MS952
2020-11-05T00:00:00Z,57.55411255411255,9240,MS953
2020-11-05T00:00:00Z,49.117241379310315,5800,MS954
2020-11-05T00:00:00Z,53.802395209580844,6680,MS956
2020-11-05T00:00:00Z,55.581818181818186,2200,MS957
2020-11-05T00:00:00Z,51.44799999999999,5000,MS958
2020-11-05T00:00:00Z,44.11363636363636,1760,MS959
2020-11-05T00:00:00Z,66.7763157894737,3040,MS960
2020-11-05T00:00:00Z,64.08695652173914,4600,MS962
2020-11-05T00:00:00Z,52.26530612244899,3920,MS963
2020-11-05T00:00:00Z,53.682758620689654,5800,MS964
2020-11-05T00:00:00Z,29.88888888888889,5760,MS964_A
2020-11-05T00:00:00Z,53.77310924369747,4760,MS965
2020-11-05T00:00:00Z,31.31007751937985,5160,MS965_A
2020-11-05T00:00:00Z,53.510204081632665,3920,MS966
2020-11-05T00:00:00Z,30.38709677419356,2480,MS966_A
2020-11-05T00:00:00Z,53.831578947368406,3800,MS967
2020-11-05T00:00:00Z,28.791666666666657,4800,MS967_A
2020-11-05T00:00:00Z,43.50574712643677,3480,MS969
2020-11-05T00:00:00Z,55.12162162162163,2960,MS970
2020-11-05T00:00:00Z,47.85950413223141,4840,MS971
2020-11-05T00:00:00Z,41.51145038167939,5240,MS972
2020-11-05T00:00:00Z,38.648809523809526,6720,MS973
2020-11-05T00:00:00Z,73.67346938775509,1960,MS974
2020-11-05T00:00:00Z,56.000000000000014,2160,MS975
2020-11-05T00:00:00Z,44.77622377622378,5720,MS976
2020-11-05T00:00:00Z,37.32203389830509,4720,MS977
2020-11-05T00:00:00Z,22.616279069767433,3440,MS979
2020-11-05T00:00:00Z,51.07692307692308,520,MS980
2020-11-05T00:00:00Z,23.63829787234042,1880,MS981
2020-11-05T00:00:00Z,35.877358490566046,4240,MS982
2020-11-05T00:00:00Z,27.740740740740744,2160,MS983
2020-11-05T00:00:00Z,33.540000000000006,2000,MS984
2020-11-05T00:00:00Z,21.285714285714285,560,MS985
2020-11-05T00:00:00Z,27.228346456692915,5080,MS986
2020-11-05T00:00:00Z,27.69230769230769,3640,MS987
2020-11-05T00:00:00Z,24.56818181818182,1760,MS988
2020-11-05T00:00:00Z,35.961240310077535,5160,MS989
2020-11-06T00:00:00Z,71.96551724137932,2320,MS1001
2020-11-06T00:00:00Z,97.625,23040,MS106
2020-11-06T00:00:00Z,33.390243902439025,1640,MS107
2020-11-06T00:00:00Z,102.72255489021958,20040,MS108
2020-11-06T00:00:00Z,68.97222222222223,2880,MS109
2020-11-06T00:00:00Z,97.6133567662566,22760,MS110
2020-11-06T00:00:00Z,52.8888888888889,1440,MS111
2020-11-06T00:00:00Z,101.90769230769233,18200,MS112
2020-11-06T00:00:00Z,42.95652173913042,920,MS113
2020-11-06T00:00:00Z,102.09140767824498,21880,MS114
