institution,ngo,private_sector,public_sector,year
ΤΕΙ ΠΕΛΟΠΟΝΝΗΣΟΥ,0,58,48,2017
ΤΕΙ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0,199,162,2017
ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,10,118,164,2017
ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ,2,291,289,2018
ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,0,0,1,2018
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,6,14,22,2018
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ,65,1012,727,2018
ΑΣΠΑΙΤΕ,0,3,1,2018
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,1,218,0,2018
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ,106,466,341,2018
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,93,414,450,2018
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ,0,372,80,2018
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,6,76,87,2018
ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,6,360,21,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ,36,388,212,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,16,76,50,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ,20,689,372,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ,18,300,324,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ,52,300,233,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ,10,220,19,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ,16,528,194,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΩΣ,3,406,49,2018
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ,18,221,130,2018
ΠΑΝΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΟΙΝΩΝΙΚΩΝ ΚΑΙ ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,92,127,218,2018
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ,3,157,43,2018
ΤΕΙ ΑΘΗΝΑΣ,18,179,116,2018
