accident_type,burns,damages,deaths,end_time,fire_station,fire_trucks,fire_vessels,firefighters,incident,incident_detail,injuries,location_description,municipality,people_involved,prefecture,start_time,village
,0,0,0,2014-12-18T00:50:00,1ος  Π.Σ. ΚΕΡΚΥΡΑΣ,1,,2, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΜΟΝΟΚΑΤΟΙΚΙΕΣ                           ,Δ. ΚΕΡΚΥΡΑΣ,1,ΚΕΡΚΥΡΑΣ,2014-12-18T00:00:00,
,0,0,0,,Π.Υ. ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ,1,0,3,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΜΟΝΟΚΑΤΟΙΚΙΕΣ                           ,Δ. ΠΑΓΓΑΙΟΥ,1,ΚΑΒΑΛΑΣ,2015-01-01T00:00:00,ΝΕΑ ΗΡΑΚΛΙΤΣΑ
,0,0,0,,Π.Κ. ΜΗΛΙΩΤΑΔΩΝ,1,0,3,ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΦΑΙΡΕΣΗ ΑΝΤΙΚΕΙΜΕΝΩΝ - ΚΑΤΑΡΡΕΥΣΕΙΣ,0,ΟΔΟΣ                                    ,Δ. ΙΩΑΝΝΙΤΩΝ,1,ΙΩΑΝΝΙΝΩΝ,2015-01-01T00:00:00,
,0,0,0,, 9ος Π.Σ. ΑΘΗΝΩΝ,2,0,6,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΑΜΑΡΟΥΣΙΟΥ,1,ΑΤΤΙΚΗΣ,2015-01-07T00:00:00,
,0,0,0,,4ος Π.Σ. ΒΙΠΕ ΗΡΑΚΛΕΙΟΥ,1,0,3,ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΡΙΨΗ ΠΡΙΟΝΙΔΙΟΥ,0,ΟΔΟΣ                                    ,Δ. ΗΡΑΚΛΕΙΟΥ,1,ΗΡΑΚΛΕΙΟΥ,2015-01-09T00:00:00,
,0,0,0,,Π.Υ. ΜΑΡΚΟΠΟΥΛΟΥ,1,0,3,ΠΥΡΚΑΓΙΑ,ΜΕΣΑΙΑ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,1,ΑΤΤΙΚΗΣ,2015-01-10T00:00:00,
,0,0,0,,1ος  Π.Σ. ΠΕΙΡΑΙΑ,2,0,6,ΠΥΡΚΑΓΙΑ,ΨΕΥΔΗΣ ΑΝΑΓΓΕΛΙΑ,0,ΚΑΤΑΣΤΗΜΑΤΑ                             ,Δ. ΚΟΡΥΔΑΛΛΟΥ,1,ΑΤΤΙΚΗΣ,2015-01-14T00:00:00,
,0,0,0,,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,0,2,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΔΟΣ                                    ,Δ. ΚΟΜΟΤΗΝΗΣ,1,ΡΟΔΟΠΗΣ,2015-02-13T00:00:00,
,0,0,0,2015-02-24T01:30:00,Π.Υ. ΜΥΤΙΛΗΝΗΣ,1,0,2,ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΝΤΛΗΣΗ ΝΕΡΟΥ,0,ΜΟΝΟΚΑΤΟΙΚΙΕΣ                           ,Δ. ΛΕΣΒΟΥ,1,ΛΕΣΒΟΥ,2015-02-24T00:00:00,ΜΥΤΙΛΗΝΗ
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,3ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,0,2,ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2015-03-06T00:00:00,
